ラーメン種類,カロリー,店名,場所,値段,レビュー,初心者or非初心者,URL,画像
二郎系,1900,ラーメン富士丸 西新井大師店 ,東京都足立区西新井1-7-7,900,3.66,1,https://tabelog.com/tokyo/A1324/A132404/13008749/,fujimaruP1190771-768x576.jpg
二郎系,1900,らーめん 玄(げん),東京都世田谷区北沢2-28-7 エルフェアシティ下北沢2 1F,850,3.55,1,https://tabelog.com/tokyo/A1318/A131802/13237219/,genP1130663-768x576.jpg
二郎系,1700,忍者らーめん,東京都千代田区神田松永町17-3 秋葉原妙見屋ビル1F,1130,3.56,1,https://tabelog.com/tokyo/A1310/A131001/13192368/,ninjaP1100453-768x576.jpg
二郎系,1600,ラーメン豚山,東京都台東区上野3-17-7,780,3.55,0,https://www.butayama.com/menu,butayamaP1190212-768x576.jpg
二郎系,1500,ピコピコポン,東京都新宿区高田馬場1-3-13,850,3.68,0,https://tabelog.com/tokyo/A1305/A130504/13221961/,pikopikoponP1140423-768x576.jpg
二郎系,1400,ラーメン 雷 東京本丸店,東京都千代田区丸の内1-9-1 グランスタ東京 1F 吹き抜けエリア,950,3.67,0,https://honmaru.biz/,kaminariP1190328-768x576.jpg
家系,950,吉村家,神奈川県横浜市西区岡野1-6-4,800,3.72,1,https://tabelog.com/kanagawa/A1401/A140102/14090328/,yosimura3AD6E728-8BF9-4393-82DE-17B776E54523-768x576.jpg
家系,900,本牧家 横須賀店,神奈川県横須賀市本町3-33-3,700,3.5,1,https://tabelog.com/kanagawa/A1406/A140601/14010561/,honmokuE0mfwLXVIAAaq1-.jpg
家系,850,ラーメン六角家 戸塚店,神奈川県横浜市戸塚区下倉田町682,650,3.59,1,https://tabelog.com/kanagawa/A1401/A140305/14000334/dtlmap/,rokkaku640x640_rect_148131441.jpg
家系,830,輝道家(きどうや),東京都杉並区阿佐谷北1-26-5 1F,750,3.69,0,https://tabelog.com/tokyo/A1321/A132104/13221750/,kidouya-768x576.jpg
家系,800,らーめん 飛粋(ひいき),東京都大田区蒲田5-2-5,1000,3.79,0,https://tabelog.com/tokyo/A1315/A131503/13217922/,hiikiP1150600-768x576.jpg
家系,790,神田ラーメン わいず,東京都千代田区内神田3-9-6 大熊ビル 1Ｆ,1150,3.74,0,https://kandaramen-waizu.jp/,waizu-768x576.jpg
